mse_base,mse_prop
0.51625556,1.2781273
0.6580711,0.596231
1.1140764,1.4801986
0.24571241,0.6096792
3.2395887,4.300302
0.2597528,2.608955
0.93771416,0.21868351
0.72730297,0.46477574
0.80449784,0.44711554
0.7624841,0.05410714
3.082605,2.7573223
0.4498489,0.2662435
0.4370237,1.2384461
1.2873354,1.2492496
0.3430502,0.9520344
1.3063806,1.4132701
0.76439905,2.6839283
1.695527,2.2936463
2.9362671,2.090904
0.95668554,1.2031469
0.14295627,2.4223926
2.3232644,3.8769898
1.7221961,1.520776
0.3172997,2.2185905
1.2422937,2.295596
0.25419948,1.2011472
0.38911337,0.93562603
0.547836,1.4877174
0.63463277,0.9997174
